OBJECTID,Date,Site,Sampling_area_ID,School,School_ID,Class,Class_ID,Temperature_F,pH,Salinity_PPT,Phosphate_ppm,Turbidity_JTU,Air_Temperature_F,Air_Pressure_lnHg,Wind_Speed_mph,Tide_Level,Site_Description,Lightning_welk,Moon_snail,Common_eastern_nassa,Eastern_oyster,Scotch_bonnet,Apple_snail,Fiddler_crab,Ghost_crab,Blue_crab,Horseshoe_crab,Hermit_crab,Redfin_needlefish,Mojarra,Striped_mullet,Scaled_sardine,Threadfin_herring,Red_drum,Roseate_spoonbill,Great_blue_heron,Little_blue_heron,Green_heron,White_ibis,Great_egret,Snowy_egret,Tricolored_Heron,Reddish_egret,Yellow-crowned_night_heron,Black-crowned_night_heron,Double_crested_cormorant,American_oystercatcher,Laughing_gull,Brown_Pelican,White_Pelican,Skimmer,Black_vulture,Turkey_vulture,Fish_crow,Belted_kingfisher,Osprey,Diamond_back_terrapin,Saltmarsh_snake,West_Indian_manatee,Bottlenose_dolphin,Bull_shark,Blacktip_shark,American_Alligator,Red_mangrove,Black_mangrove,Waxmyrtle,Brazillian_pepper,Smooth_cordgrass,Florida_royal_palm,Cabbage_palm,Saw_palmetto,Sea_grape,Florida_grounsel_bush,Aloe_yucca,Oak_tree
1,11/13/14,CFC,1,Summerfield Elementary,200,Bond,2000,71.6,6,15,0.25,0,,,,,"mangrove forest, hardwood hammock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11/13/14,CFC,2,Summerfield Elementary,200,Bond,2000,71.6,6,15,0.25,0,66,30.23,6.4,low,salt marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11/13/14,CFC,3,Summerfeild Elementary,200,Bond,2000,82.4,6,18,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11/13/14,CFC,1,Summerfield Elementary,200,Mischnick,2001,71.6,4,18,0.25,0,,,,,"mangrove forest, hardwood hammock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11/13/14,CFC,2,Summerfield Elementary,200,Mischnick,2001,70,6,11,0.25,0,67,29.86,,low,salt marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11/13/14,CFC,3,Summerfield Elementary,200,Mischnick,2001,74,6,15,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11/13/14,CFC,1,Summerfield Elementary,200,Garner,2002,68,4,11,0.25,0,,,,,"mangrove forest, hardwood hammock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11/13/14,CFC,2,Summerfield Elementary,200,Garner,2002,68,4,11,0.25,0,66,30.23,6,low,salt marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11/13/14,CFC,3,Summerfield Elementary,200,Garner,2002,68,6,10,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11/13/14,CFC,1,Summerfield Elementary,200,Simmons,2003,75.2,4,20,0.25,0,,,,,"mangrove forest, hardwood hammock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11/13/14,CFC,2,Summerfield Elementary,200,Simmons,2003,68,6,20,0.25,40,67,30.21,1.5,low,salt marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11/13/14,CFC,3,Summerfield Elementary,200,Simmons,2003,75.2,6,20,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,11/13/14,CFC,1,Summerfield Elementary,200,Barnes,2004,71.6,6,11,0.25,0,,,,,"mangrove forest, hardwood hammock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,11/13/14,CFC,2,Summerfield Elementary,200,Barnes,2004,71.6,6,11,0.25,0,76,29.86,2.4,low,salt marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,11/13/14,CFC,3,Summerfield Elementary,200,Barnes,2004,75,4,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11/13/14,CFC,1,Summerfield Elementary,200,Ream,2005,71.6,6.5,18,0.5,0,,,,,"mangrove forest, hardwood hammock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,11/13/14,CFC,2,Summerfield Elementary,200,Ream,2005,68,5,20,0.25,0,69.4,30.21,3.8,low,salt marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11/13/14,CFC,3,Summerfield Elementary,200,Ream,2005,71.6,4,20,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12/12/14,CFC ,1, Summerfield Crossings Elementary ,100,Cochran/Massena,1000,60.8,5,18,0.25,0,,,,,"mangrove forest, hardwood hammock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,5
20,12/12/14,CFC,2,Summerfield Crossings Elementary,100,Cochran/Massena,1000,57.2,6,18,0,0,57.4,30.49,3.3,low,salt marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,
21,12/12/14,CFC,3,Summerfield Crossings Elementary,100,Cochran/Massena,1000,64.4,6,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,
22,12/12/14,CFC,1,Summerfield Crossings Elementary,100,Keezer,1001,66.2,6,15,0.31,10,,,,,"mangrove forest, hardwood hammock",,,,,,,2,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1000,,,,,,,,40,,15
23,12/12/14,CFC,2,Summerfield Crossings Elementary,100,Keezer,1001,64.7,6.5,27,2.63,40,66.5,31.36,3.65,low,salt marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,12/12/14,CFC,3,Summerfield Crossings Elementary,100,Keezer,1001,70.3,5.6,25.66,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,
25,12/15/14,CFC,1,Reddick Elementary,199,Foley,1991,64.4,5,15,0,0,,,,,"mangrove forest, hardwood hammock",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
26,12/15/14,CFC,2,Reddick Elementary,199,Foley,1991,64.4,6,20,0.5,0,60,30.32,0.7,high,salt marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,12/15/14,CFC,3,Reddick Elementary,199,Foley,1991,64.4,4,21,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,12/15/14,CFC,1,Reddick Elementary,199,Gouge,1992,60.8,7,10,0.25,0,,,,,"mangrove forest, hardwood hammock",,,,,,,10,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
29,12/15/14,CFC,2,Reddick Elementary,199,Gouge,1992,64.4,5,10,0.25,0,69,30.32,0.6,high,salt marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,12/15/14,CFC,3,Reddick Elementary,199,Gouge,1992,64.4,6,10,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,12/16/14,CFC,1,Reddick Elementary,199,Bannon,1993,64.4,5,15,0.25,0,,,,,"mangrove forest, hardwood hammock",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
32,12/16/14,CFC,2,Reddick Elementary,199,Bannon,1993,64.4,6,10,0,0,62.8,36.01,4.4,high,salt marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
33,12/16/14,CFC,3,Reddick Elementary,199,Bannon,1993,64.4,4,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,12/16/14,CFC,1,Reddick Elementary,199,Harris,1994,64.4,5,,0,0,,,,,"mangrove forest, hardwood hammock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
35,12/16/14,CFC,2,Reddick Elementary,199,Harris,1994,64.4,4,10,0,0,68,36.01,,high,salt marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,12/16/14,CFC,3,Reddick Elementary,199,Harris,1994,64.4,4,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,12/16/14,CFC,1,Reddick Elementary,199,Costello,1995,64.4,6,15,0,0,,,,,"mangrove forest, hardwood hammock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
38,12/16/14,CFC,2,Reddick Elementary,199,Costello,1995,64.4,5,20,0,0,68,31.01,1.9,high,salt marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,12/16/14,CFC,3,Reddick Elementary,199,Costello,1995,64.4,5,20,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,